source_id,name,repo_url,homepage_url,source_categories,source_url,phase1_priority
antgroup,tabby,https://github.com/TabbyML/tabby,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,tensorflow,https://github.com/tensorflow/tensorflow,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,textgen,https://github.com/oobabooga/textgen,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,triton,https://github.com/triton-lang/triton,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,unitycatalog,https://github.com/unitycatalog/unitycatalog,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,unstract,https://github.com/Zipstack/unstract,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,unstructured,https://github.com/Unstructured-IO/unstructured,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,vibe-kanban,https://github.com/BloopAI/vibe-kanban,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,voicebox,https://github.com/jamiepine/voicebox,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,volcano,https://github.com/volcano-sh/volcano,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,wandb,https://github.com/wandb/wandb,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,warp,https://github.com/warpdotdev/warp,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,x,https://github.com/ant-design/x,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,xiaozhi-esp32,https://github.com/78/xiaozhi-esp32,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,xla,https://github.com/openxla/xla,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,zeroclaw,https://github.com/zeroclaw-labs/zeroclaw,,,https://github.com/antgroup/agentic-ai-landscape,4
ombharatiya,Claude Code,,,Tool-Use / Computer Agents,https://github.com/ombharatiya/ai-system-design-guide/blob/main/17-tool-use-and-computer-agents/01-tool-use-landscape.md,5
ombharatiya,Claude Computer Use,,,Tool-Use / Computer Agents,https://github.com/ombharatiya/ai-system-design-guide/blob/main/17-tool-use-and-computer-agents/01-tool-use-landscape.md,5
ombharatiya,Cline,,,Tool-Use / Computer Agents,https://github.com/ombharatiya/ai-system-design-guide/blob/main/17-tool-use-and-computer-agents/01-tool-use-landscape.md,5
ombharatiya,Cursor,,,Tool-Use / Computer Agents,https://github.com/ombharatiya/ai-system-design-guide/blob/main/17-tool-use-and-computer-agents/01-tool-use-landscape.md,5
